Open,High,Low,Close
526.756897,528.688538,520.194092,521.605713
524.453674,525.592896,520.615112,521.803833
526.509216,531.784241,504.22049,505.830231
509.421204,509.421204,499.267456,500.332336
502.709808,505.38446,498.895966,500.084686
503.229889,506.102661,500.951477,502.511688
504.7901,510.609924,502.239258,509.049713
509.173553,510.659454,501.521088,503.254639
505.18634,507.043732,497.806305,498.796906
499.713226,500.307587,494.562042,495.354523
495.304993,498.276825,491.34256,492.13504
490.84726,496.493744,488.519318,489.311798
490.252899,492.778961,485.448425,487.008636
485.398895,487.008636,480.445862,481.733643
480.693512,492.2341,480.693512,484.953125
485.398895,491.29303,482.922363,483.863464
485.398895,487.850677,480.445862,480.767792
481.931763,483.912994,474.675537,477.77121
477.325439,487.825897,477.325439,484.012054
484.012054,492.03598,481.684113,489.683289
